question,document
"Do I have to review other people's projects too, or is it optional?",9a2e2d2008
What happens if I don't grade the projects assigned to me for peer review?,9a2e2d2008
How is the final score calculated from the three peer reviews?,9a2e2d2008
Is there a rubric or specific criteria we should follow when evaluating each other's projects?,9a2e2d2008
How do we find out which projects we need to evaluate?,eae0fb50aa
When will we get the projects we're supposed to grade?,eae0fb50aa
What's the process for getting assigned peer projects to review?,eae0fb50aa
Do we get an email with the projects to review or how does that work?,eae0fb50aa
How many projects does each person have to review?,eae0fb50aa
"My project is already submitted but there's nothing available to review, is that normal?",a8a7fef016
How do I pick which projects to give feedback on?,a8a7fef016
When will the list of projects I need to evaluate become available?,a8a7fef016
Do we get to choose which peer projects we review?,a8a7fef016
"I can't review anything even though I submitted mine already, what's going on?",a8a7fef016
"I'm stuck and can't think of anything to build for the final project, where should I start looking?",e76a70cde3
Are there any recommended places to look for interesting datasets to use?,e76a70cde3
What are some cool project topics I could explore for this assignment?,e76a70cde3
Do you guys have any suggestions or resources for brainstorming project concepts?,e76a70cde3
Where can I browse example ideas to get inspiration for what to work on?,e76a70cde3
"Is it okay to just use a normal Python script for the data pipeline in the capstone, or do I have to learn Mage/Airflow?",d4f7c08ea1
Can I do all the data ingestion stuff in a Jupyter notebook for the capstone project?,d4f7c08ea1
Will I lose points if I don't use any orchestration tool like Kestra or Airflow?,d4f7c08ea1
When does it actually make sense to add an orchestrator to my capstone project?,d4f7c08ea1
What's the scoring difference between using a Python script vs a notebook for the ingestion part?,d4f7c08ea1
"I'm building a RAG system that recommends stuff rather than answering questions directly, so there's no clear ground truth to compare against. How am I supposed to evaluate retrieval quality in this case?",9b0e2d6a47
What's the best way to score a recommender-style retrieval pipeline when there's no obvious right answer for each query?,9b0e2d6a47
Is NDCG better than hit rate for evaluating ranking-based RAG systems where multiple results could be valid?,9b0e2d6a47
Can I use an LLM to judge the quality of my RAG outputs instead of building a labeled dataset?,9b0e2d6a47
How do I create a ground truth dataset for a retrieval system that doesn't have straightforward Q&A pairs?,9b0e2d6a47
What's the best way to handle chunking when my documents are really long and have tons of paragraphs?,6f2a8b3d10
Should I be using fixed-size chunks or is there a smarter approach to splitting up my text?,6f2a8b3d10
Any good libraries for extracting clean text from PDFs before I start breaking them into chunks?,6f2a8b3d10
How do I know if my chunking strategy is actually working well or if I need to change something?,6f2a8b3d10
My documents are very structured like legal or financial reports - any tips on making sure exact phrases don't get lost during search?,6f2a8b3d10
Do I need to include my actual API keys in the repo so reviewers can run everything?,e5d8a2c761
What's the deal with reproducibility for the capstone — what exactly am I supposed to provide?,e5d8a2c761
How should I handle environment variables and secrets so others can still reproduce my project?,e5d8a2c761
Which model should I pick so that peer reviewers don't end up spending a lot on API costs?,e5d8a2c761
Do I need to lock down package versions and Python version for the project to be considered reproducible?,e5d8a2c761
Do I have to stick with Python or can I build my capstone in Node.js?,ea815eb858
What happens if I submit my project in Go or Rust instead of Python?,ea815eb858
"If I write my homework in a non-Python language, what extra stuff do I need to include in the README?",ea815eb858
"Is it okay to use TypeScript for the final project, or will that affect my grade?",ea815eb858
Will the reviewers be able to evaluate my project if it's written in Java or C#?,ea815eb858
Are there any example capstone projects I can look at for inspiration?,930286278d
How do I know if my final project idea meets the expected scope?,930286278d
Can I see what other students built for their capstone?,930286278d
What's the best way to get a sense of the quality level expected for the final project?,930286278d
Is there a gallery or list of past student submissions from this course?,930286278d
Do I have to claim my capstone project topic before I start working on it?,897a350476
Can I build something similar to what another student is doing?,897a350476
Where can I get some inspiration or see what scope is expected for the project?,897a350476
Is it okay to pick the same idea as someone else or do topics need to be unique?,897a350476
"If I want feedback on my project idea before diving in, what's the best way to get it?",897a350476
Do I have to build a web interface or can I make a chatbot for the capstone?,7318a90b14
Is it okay to just use a Jupyter notebook for submitting the final project?,7318a90b14
Are there any rules about what kind of UI the project needs to have?,7318a90b14
Does the course cover how to set up Telegram or Slack bots for our project?,7318a90b14
Can I use a command-line tool instead of a web app for the capstone project?,7318a90b14
Any recommendations for a library to pull text out of PDF files for a RAG pipeline?,d8b28c47a0
I have scanned documents with no selectable text — what's the best way to OCR them for my project?,d8b28c47a0
Is there a hosted API I can use instead of running OCR locally on my PDFs?,d8b28c47a0
Does the course require a specific tool for extracting content from documents?,d8b28c47a0
What's good for converting PDFs into Markdown so I can use them in retrieval?,d8b28c47a0
Are we allowed to reuse the stuff from this workshop in our capstone?,d850a0e7ea
Is it okay to apply dlt to projects outside of this course?,d850a0e7ea
Can I bring what I learn here into the MLOps Zoomcamp?,d850a0e7ea
"Since dlt is open source, does that mean I'm free to integrate it into personal work?",d850a0e7ea
Am I allowed to share these workshop resources with classmates or friends?,d850a0e7ea
What's the first step to start a dlt project for ingesting files from the cloud?,6bceeebf04
How do I initialize dlt when my data source is a cloud storage like S3?,6bceeebf04
"I'm trying to load data from the filesystem using dlt but not sure where to begin, any tips?",6bceeebf04
What command kicks off a new dlt pipeline that pulls from cloud storage?,6bceeebf04
Where can I find more detailed instructions for setting up dlt with cloud files?,6bceeebf04
Why am I getting a FileNotFoundError when trying to open the homework table in LanceDB?,0407213397
"I'm getting 'Table does not exist' error when running db.open_table, what could be wrong?",0407213397
Do I need to rename something in the dlt pipeline to make the homework table work?,0407213397
"The notebook throws an error saying the table doesn't exist after running the pipeline, any ideas?",0407213397
How come my data ingestion pipeline isn't creating the expected table in the database?,0407213397
"I'm getting a FileNotFoundError saying the notion_pages___homework table doesn't exist, what am I doing wrong?",e95bfafc0e
Why does dlt throw an error telling me to call create_table before running my pipeline?,e95bfafc0e
"My script crashes with 'table does not exist' when I try to open it, how do I fix this?",e95bfafc0e
Getting a 'please first call db.create_table' error — do I actually need to create the table manually?,e95bfafc0e
"The homework notebook fails when opening the DuckDB table, anyone else hit this issue?",e95bfafc0e
Is there a way to check what tables exist in my database using dlt?,e394e6f738
How can I see all the table names that got created in my db?,e394e6f738
What method do I call to get a list of tables in the database?,e394e6f738
"After running dlt, how do I find out which tables are available?",e394e6f738
Can I retrieve all table names from the db object?,e394e6f738
Can I use dlt to load data into ClickHouse?,cd19f122f3
Are there any plans to add StarRocks support to dlt?,cd19f122f3
How do I connect dlt with ClickHouse as a destination?,cd19f122f3
Is StarRocks supported as a sink in dlt?,cd19f122f3
What databases are currently supported as destinations by dlt?,cd19f122f3
Why am I getting a 401 unauthorized error when connecting to the Notion API?,0dfba07ace
"My notebook says it doesn't have secret access to Notion, how do I fix this?",0dfba07ace
How can I troubleshoot Notion API authentication issues in dlt?,0dfba07ace
What should I check if my Notion API key keeps getting rejected?,0dfba07ace
I keep getting an unauthorized error from Notion's API search endpoint — what am I missing?,0dfba07ace
"pip is installing an older version of requests even though lancedb needs 2.32, how do I get the right one?",4b30b918bc
"Getting a 401 error after installing requests, could it be a wrong API key?",4b30b918bc
How can I force install requests v2.32.3 when pip keeps giving me 2.28?,4b30b918bc
What does a 401 Client Error mean when working with lancedb?,4b30b918bc
Is there a way to install requests straight from the GitHub repo to get the version lancedb needs?,4b30b918bc
